Modelo,Neurona,Media,Desv_Std,Pct_Cerca_Cero,Tipo_Detector,Gradiente_H,Gradiente_V,Max_Pos_Ubicacion,Max_Neg_Ubicacion
NET2_aug,1,0.01119025144726038,0.024631183594465256,56.379999999999995,textura,0.0076073831878602505,0.007678211200982332,"(80, 65)","(11, 42)"
NET2_aug,2,-0.012541376054286957,0.03030966967344284,59.489999999999995,textura,0.008318977430462837,0.008544963784515858,"(26, 44)","(64, 78)"
NET2_aug,3,0.007692376151680946,0.026157937943935394,54.31,textura,0.008530335500836372,0.008382447995245457,"(79, 47)","(89, 48)"
NET2_aug,4,0.003138164058327675,0.025808747857809067,55.279999999999994,textura,0.008189866319298744,0.008249719627201557,"(21, 45)","(60, 74)"
NET2_aug,5,-0.005765209440141916,0.02564455009996891,58.46,textura,0.007437568623572588,0.007280590012669563,"(11, 51)","(50, 45)"
NET2_aug,6,-0.00931415893137455,0.03230736777186394,60.33,textura,0.008443656377494335,0.008454883471131325,"(45, 41)","(34, 72)"
NET2_aug,7,-0.011083549819886684,0.03536546602845192,64.12,textura,0.007768696639686823,0.007708900608122349,"(55, 39)","(49, 23)"
NET2_aug,8,-4.052428630529903e-05,0.00025850842939689755,100.0,localizado,5.817904093419202e-05,5.7208217185689136e-05,"(56, 71)","(62, 73)"
NET2_aug,9,-0.00796892773360014,0.03703760355710983,56.68,textura,0.009661149233579636,0.009662282653152943,"(45, 54)","(44, 79)"
NET2_aug,10,0.0060770208947360516,0.024680938571691513,55.15,textura,0.008099909871816635,0.007975548505783081,"(78, 35)","(44, 21)"
NET2_aug,11,-0.0001702303416095674,0.029245957732200623,55.67999999999999,textura,0.008571939542889595,0.008816962130367756,"(42, 52)","(59, 79)"
NET2_aug,12,-0.013114577159285545,0.02837141416966915,56.28999999999999,textura,0.008358965627849102,0.00816325843334198,"(41, 28)","(37, 58)"
NET2_aug,13,0.0061336406506598,0.024915672838687897,57.120000000000005,textura,0.008395279757678509,0.008256004191935062,"(26, 65)","(68, 35)"
NET2_aug,14,-0.002197028836235404,0.005721590481698513,87.19,localizado,0.002585730515420437,0.0025909182149916887,"(56, 82)","(65, 21)"
NET2_aug,15,-0.0011659013107419014,0.0043935407884418964,91.02,localizado,0.0023171750362962484,0.0023382757790386677,"(53, 67)","(72, 55)"
NET2_aug,16,-0.008114458993077278,0.025822948664426804,61.06,textura,0.007326915394514799,0.00738558592274785,"(64, 70)","(25, 47)"
