Modelo,Capa,Media,Desv. Std.,Rango,Top Filtros
CNN_base_normal,Capa 1,0.0174,0.2067,0.8972,"7, 11, 14"
CNN_base_normal,Capa 2,0.0037,0.0617,0.5396,"8, 27, 11"
CNN_base_normal,Capa 3,-0.0027,0.0503,0.5994,"14, 19, 39"
CNN_base_aug,Capa 1,0.0456,0.1918,0.8479,"15, 10, 1"
CNN_base_aug,Capa 2,-0.0071,0.0668,0.5493,"20, 31, 22"
CNN_base_aug,Capa 3,-0.0021,0.0467,0.4814,"4, 2, 35"
CNN_variant1_normal,Capa 1,0.0017,0.1846,0.7726,"24, 0, 1"
CNN_variant1_normal,Capa 2,-0.0113,0.0563,0.4566,"32, 29, 3"
CNN_variant1_normal,Capa 3,-0.0026,0.0455,0.4667,"9, 20, 114"
CNN_variant1_aug,Capa 1,0.0097,0.1962,0.7833,"18, 11, 25"
CNN_variant1_aug,Capa 2,-0.0161,0.0568,0.4780,"33, 4, 35"
CNN_variant1_aug,Capa 3,-0.0029,0.0440,0.4419,"1, 11, 117"
CNN_variant2_normal,Capa 1,-0.0019,0.1198,0.4280,"6, 2, 3"
CNN_variant2_normal,Capa 2,-0.0016,0.0511,0.2568,"3, 20, 1"
CNN_variant2_normal,Capa 3,0.0001,0.0379,0.2404,"62, 16, 19"
CNN_variant2_normal,Capa 4,-0.0010,0.0741,0.3498,"82, 72, 40"
CNN_variant2_aug,Capa 1,-0.0033,0.1136,0.4534,"9, 6, 5"
CNN_variant2_aug,Capa 2,0.0006,0.0516,0.2748,"6, 14, 26"
CNN_variant2_aug,Capa 3,-0.0014,0.0376,0.2443,"56, 10, 55"
CNN_variant2_aug,Capa 4,-0.0058,0.0730,0.3502,"72, 8, 86"
